date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Belgian Endive,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Madarins,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,100,18,36,0,0,15,12,0,69,0,17,0,0,0,0,0,26,35,0,0,0,26,0,34,0,0,0,27,0,12,50,0,100,47,0,0,0,40,23,0,0,31,0,0,0,15,51,20,0,74,30,31,0,0,0,0,0,0,0,0,19,0,0,0,0,51,28,0,100,57,37,49,0,0,0,0,0,71,0,0,0,34,60,0,40,32,81,45,43,0,0,16,0,52,0,22,0,0,0,13,0,0,0,55,28,0,0,0,0,0,0,23,14,73,12,0,14,0,0,0,23,100,0,0,0,15,0,0,0,0
2005-02-01,0,31,27,44,0,14,8,0,59,0,16,0,0,0,0,88,25,100,0,0,0,16,0,32,0,0,100,50,0,12,48,0,94,22,0,0,0,37,21,100,0,29,100,0,18,27,27,38,0,0,100,59,0,0,28,0,0,0,100,0,0,68,0,78,0,48,21,0,48,0,0,35,0,0,0,46,0,33,0,56,0,16,38,0,39,27,51,63,27,0,0,26,0,59,10,15,100,100,0,17,37,0,0,0,27,0,0,0,0,100,0,22,20,45,22,0,0,100,0,0,24,31,0,0,72,16,0,0,0,0
2005-03-01,0,32,22,36,0,17,12,0,69,0,16,0,0,0,100,0,20,27,0,0,0,0,0,26,0,0,80,20,0,0,77,0,75,27,0,0,33,0,43,0,0,16,82,0,19,22,52,15,0,56,69,0,0,0,38,0,0,0,0,100,0,0,0,31,87,58,30,0,52,44,29,56,0,0,0,37,0,41,0,45,100,33,92,0,0,32,42,34,25,42,57,25,0,24,8,32,0,80,100,12,40,0,100,43,22,0,0,0,0,0,66,22,16,36,11,0,8,0,0,0,23,0,0,0,58,12,61,100,0,0
2005-04-01,86,44,13,80,0,0,17,0,69,0,28,0,100,0,0,0,22,30,0,0,0,34,0,0,100,0,0,45,0,0,43,0,0,15,0,0,18,0,39,90,0,25,0,0,50,12,34,23,0,0,52,27,0,0,68,0,0,0,92,0,0,0,0,35,100,44,29,0,29,0,32,32,0,0,0,0,0,76,0,100,0,15,0,0,0,0,47,0,44,0,0,51,0,27,9,15,93,0,0,16,63,0,0,0,24,0,75,0,0,0,74,20,37,27,8,0,20,0,0,0,33,28,0,0,0,17,0,0,0,0
2005-05-01,0,52,15,42,100,10,20,0,80,57,16,47,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,24,0,25,34,0,0,24,0,0,14,27,31,0,100,25,71,0,40,10,23,41,0,100,41,31,0,0,40,0,0,0,0,0,0,97,0,41,0,86,20,100,23,0,25,25,0,0,0,33,0,32,0,0,0,27,45,0,0,28,0,45,34,74,100,33,0,21,7,21,0,71,0,14,13,0,0,0,0,0,0,0,0,70,57,23,10,21,15,0,12,36,0,0,14,34,0,0,0,7,0,0,0,0
2005-06-01,0,61,20,34,0,32,13,0,72,60,12,100,0,0,0,100,19,25,0,0,0,15,0,0,0,0,74,18,0,9,35,0,0,12,0,0,0,0,0,0,0,29,0,0,9,10,18,33,0,54,97,22,0,0,28,0,100,0,75,0,27,100,0,44,0,0,11,0,48,0,0,17,0,0,0,35,0,50,0,0,0,12,57,0,29,23,77,0,31,39,54,38,0,33,0,26,0,74,0,11,14,0,0,39,0,0,0,58,100,0,0,15,25,45,7,0,10,37,0,0,11,23,0,0,0,5,0,0,100,0
2005-07-01,0,56,10,77,0,18,13,0,63,0,8,0,0,0,0,67,18,25,0,0,0,18,81,24,0,0,74,18,0,9,36,0,0,12,0,0,30,28,16,74,0,26,0,0,9,21,12,28,0,53,43,22,0,0,49,0,0,0,0,0,13,0,0,58,0,54,16,0,0,40,26,35,0,0,0,34,0,25,0,0,94,30,38,0,29,0,38,0,23,0,0,27,0,33,0,23,0,0,0,17,19,0,0,58,20,79,61,0,0,74,60,24,17,22,22,0,10,75,0,0,21,0,100,0,53,12,0,0,100,0
2005-08-01,0,45,22,29,0,9,16,0,65,0,25,43,0,0,0,0,24,43,0,0,0,16,0,21,0,91,64,32,0,15,77,0,0,27,0,0,0,24,19,0,0,41,65,0,12,13,10,20,0,0,46,19,0,37,24,0,0,0,65,0,12,43,49,25,0,52,21,0,34,53,68,45,0,0,0,30,0,36,0,72,0,21,66,0,25,26,100,0,60,100,0,40,0,0,7,24,0,65,79,13,12,0,0,34,17,69,89,0,0,0,78,21,9,0,11,0,13,33,0,0,24,20,0,100,70,12,100,0,0,0
2005-09-01,0,34,0,58,0,25,12,0,64,0,14,0,0,0,0,0,24,21,0,0,0,24,0,31,0,0,64,43,0,15,52,100,0,18,100,0,26,0,14,0,0,19,65,0,8,18,21,33,0,69,28,19,0,37,18,0,0,0,0,82,12,0,100,51,71,42,9,0,21,0,34,23,0,0,0,30,100,33,91,0,0,21,66,0,25,35,50,28,27,0,0,27,0,39,0,22,0,0,80,9,12,0,0,34,18,0,53,51,0,0,52,15,9,19,10,0,9,49,0,0,23,21,0,0,47,16,50,0,0,100
2005-10-01,0,29,8,40,0,13,18,0,65,48,22,40,0,0,0,0,0,27,0,0,0,0,0,20,0,0,0,15,0,7,48,0,0,33,0,0,42,0,13,60,0,32,0,0,11,8,10,34,0,0,40,0,84,0,28,0,0,0,0,0,11,40,0,23,0,87,28,0,19,0,28,42,0,0,0,69,0,20,0,34,0,26,31,0,23,24,0,51,45,62,0,51,0,27,6,19,0,61,0,16,11,97,0,0,16,0,0,0,80,60,0,15,24,18,14,0,5,30,0,0,33,19,0,93,44,21,0,0,0,0
