date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Belgian Endive,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,0,21,33,32,0,15,0,18,0,88,87,18,13,0,47,0,0,12,41,0,0,0,20,0,39,0,0,0,32,0,14,25,0,0,9,0,0,8,14,8,56,0,20,84,46,0,22,33,26,0,53,38,17,0,28,21,0,0,0,22,93,0,9,99,26,28,0,0,2,75,50,0,0,0,0,0,0,0,70,65,0,0,22,86,0,29,19,15,29,23,21,65,34,0,15,12,22,0,63,43,2,0,77,0,22,16,52,17,2,23,59,51,32,8,8,12,74,13,100,0,0,16,18,0,0,0,9,17,0,0,0
2005-02-01,0,16,27,23,100,26,0,14,0,80,47,17,14,0,52,90,45,13,36,0,0,0,9,0,23,0,49,56,14,0,0,24,0,82,16,0,0,6,26,6,0,0,36,45,0,0,0,14,48,0,34,62,12,71,31,22,0,0,0,0,100,0,0,0,0,46,45,53,5,0,0,57,0,21,0,61,0,0,45,70,38,0,24,93,0,21,0,16,62,24,27,69,33,0,33,13,17,0,40,70,2,40,0,0,64,18,56,0,0,23,63,0,36,3,8,18,0,3,0,100,0,19,19,0,0,45,7,14,0,0,0
2005-03-01,0,18,30,39,0,33,0,14,0,82,40,24,12,0,43,0,38,15,45,0,0,0,18,0,24,0,0,46,19,0,10,15,59,0,13,0,0,8,9,7,0,0,37,0,0,0,27,12,45,0,48,40,13,59,0,19,0,0,0,0,0,0,4,0,24,26,0,0,4,0,68,48,0,17,0,51,41,0,64,0,64,0,41,50,59,18,12,13,26,16,10,0,35,0,14,11,25,93,34,39,1,0,69,0,39,15,0,0,0,13,53,47,31,5,6,17,0,11,92,84,0,22,16,72,94,0,10,26,49,96,0
2005-04-01,0,25,27,36,0,15,0,11,100,93,70,22,9,0,0,0,0,26,0,0,0,0,13,0,0,0,47,0,6,0,9,23,0,0,18,0,0,11,16,19,58,0,21,59,100,100,39,14,31,53,33,60,15,0,15,44,0,100,0,0,0,40,6,0,0,0,43,52,4,79,53,56,68,41,0,59,49,0,40,0,0,0,24,48,68,0,13,16,61,36,24,0,48,0,16,19,19,0,59,93,1,0,0,0,52,35,0,18,2,30,0,0,27,7,4,25,0,10,0,0,0,24,7,0,0,0,8,18,0,0,0
2005-05-01,70,24,31,29,0,39,0,11,0,90,61,18,8,0,45,0,0,15,47,0,0,0,14,0,18,0,42,0,10,0,15,31,0,72,22,0,0,10,19,10,52,0,21,39,0,0,34,0,32,0,45,35,7,0,27,0,99,86,72,0,0,35,0,0,24,79,0,0,5,70,47,49,60,53,0,0,64,0,35,0,33,0,17,38,0,18,9,37,40,40,22,0,50,0,14,11,21,0,35,0,1,0,0,55,35,15,48,38,0,0,55,96,29,6,6,43,0,5,0,0,0,33,13,0,0,80,18,16,0,0,31
2005-06-01,0,19,56,31,0,26,0,22,90,93,42,34,8,0,46,0,41,16,24,0,0,0,6,0,32,0,43,100,5,0,10,32,0,0,28,100,0,20,20,24,53,0,22,0,0,94,21,30,30,0,31,30,28,63,28,40,0,0,76,0,90,37,0,0,25,27,40,47,6,0,48,51,62,82,0,0,44,0,50,63,0,0,40,37,63,19,23,29,42,35,16,0,41,0,15,12,17,100,36,42,1,0,75,29,47,32,51,39,3,0,57,0,40,7,2,56,0,8,0,0,0,38,14,0,100,41,26,17,53,0,0
2005-07-01,76,18,77,23,0,7,0,21,0,92,43,28,10,0,48,0,42,49,37,0,0,0,13,20,19,0,45,51,13,0,16,33,0,0,61,0,0,16,20,24,55,0,25,42,0,0,52,22,36,0,32,38,17,66,58,21,0,0,0,0,91,0,7,0,26,28,41,49,7,75,100,0,64,19,0,0,45,0,37,0,47,100,26,45,0,19,19,30,72,41,30,0,42,0,36,12,11,0,37,0,2,0,77,0,27,49,0,0,2,14,0,52,42,3,4,29,73,6,0,0,0,36,14,0,0,42,23,13,54,0,33
2005-08-01,0,27,68,31,0,8,0,9,0,60,42,38,22,0,91,0,100,47,47,0,0,0,22,19,31,0,0,0,13,0,0,31,0,72,30,0,0,25,10,19,0,0,34,0,0,0,14,50,28,0,60,30,18,0,27,39,100,0,0,0,87,0,13,0,25,0,0,47,4,0,71,100,0,36,0,53,0,0,35,0,100,0,53,22,0,18,23,28,27,32,31,0,36,0,29,11,19,0,71,0,2,0,0,28,31,16,50,33,2,0,56,48,31,6,13,14,69,4,0,0,0,40,13,0,0,0,28,16,0,100,62
2005-09-01,65,50,14,33,80,8,0,14,0,88,38,28,17,0,41,71,36,19,21,0,0,0,10,0,23,0,39,0,9,0,13,14,0,67,25,0,0,12,29,23,0,0,41,36,0,0,19,34,40,0,42,43,32,56,31,18,0,0,0,0,79,100,4,0,22,37,53,0,4,0,43,45,55,33,0,50,0,0,20,0,46,0,26,26,56,17,12,38,49,18,38,0,23,0,45,0,24,88,65,0,4,33,0,0,38,14,0,30,0,12,51,0,28,4,19,12,0,8,0,0,0,44,12,0,0,37,14,15,47,0,0
2005-10-01,58,54,19,28,0,14,0,8,0,75,34,29,21,0,49,0,0,6,19,0,0,0,18,16,30,0,0,0,8,0,13,13,0,0,4,0,0,19,34,8,42,0,28,48,36,74,23,14,44,0,25,19,32,100,17,32,0,0,0,0,95,29,3,0,40,22,32,76,4,0,64,0,50,29,0,0,70,0,32,100,27,0,34,43,0,15,12,23,22,31,23,100,23,0,16,19,28,79,0,0,48,72,0,34,29,13,0,13,1,22,90,40,30,15,41,19,57,30,78,71,0,22,33,0,0,32,9,100,0,0,25
