date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Kale,Kiwifruit,Kumquat,Lemons,Lettuce,Longan,Loquat,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2005-01-01,11,0,0,0,0,7,0,0,0,0,0,6,0,0,8,0,0,0,0,6,0,0,0,0,0,5,6,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,12,6,0,100,5,0,0,6,0,0,0,0,0,0,0,6,6,9,0,0,3,0,0,4,0,0
2005-02-01,6,0,9,0,0,4,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,23,0,0,0,34,0,7,0,0,0,0,0,0,0,5,0,0
2005-03-01,6,11,11,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,5,0,10,0,0,0,0,0,0,14,0,0,0,0,4,0,0,5,0,0,0,5,0,0,0,5,0,7,0,3,2,0,0,0,0,0
2005-04-01,4,0,6,12,4,14,0,0,0,0,13,6,0,0,0,5,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,0,0,0,4,0,0
2005-05-01,3,12,0,12,0,3,0,0,0,6,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,4,0,0
2005-06-01,6,0,6,11,0,5,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,5,0,5,9,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,2,0,0,4,0,0
2005-07-01,5,0,5,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,2,0,0,3,0,0
2005-08-01,3,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,5,0,10,0,0,0,4,0,0,0,0,5,0,6,0,0,0,5,0,0,0,0,2,0,0,3,0,0
2005-09-01,3,11,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2005-10-01,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,5,6,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,5,0,7,0,0,2,0,0,0,0,0
2005-11-01,6,0,0,0,4,9,0,0,0,0,0,5,11,0,7,0,8,0,0,0,5,0,0,0,0,0,0,17,5,0,0,0,0,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,4,0,0
2005-12-01,3,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,0,9,0,0,0,5,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,14,0
2006-01-01,4,0,0,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
2006-02-01,4,0,0,0,4,5,8,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,2,0,0,0,0,0
2006-03-01,4,0,4,0,0,2,3,0,0,0,9,4,0,0,5,4,0,5,0,4,0,0,0,0,0,0,4,7,4,0,0,4,0,0,0,2,4,4,0,0,0,0,0,0,0,18,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,2,0,0,3,0,0
2006-04-01,2,0,0,9,3,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,4,5,19,0,12,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,8,0,0,5,0,2,0,0,4,0,0
2006-05-01,2,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,4,0,4,0,0,0,0,0,4,0,6,0,0,2,8,0,6,0,0
2006-06-01,2,13,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,4,0,12,0,0,0,0,0,0,0,6,0,2,2,0,0,3,0,0
2006-07-01,4,8,4,0,0,8,0,0,9,0,0,4,0,0,5,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0
2006-08-01,6,0,4,0,0,4,3,0,9,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,5,0,0,2,0,0,0,0,0
2006-09-01,3,8,4,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0
2006-10-01,5,0,0,0,0,7,3,7,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,2,6,0,3,0,0
2006-11-01,5,0,0,8,0,8,0,0,0,0,0,4,16,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,3,0,5,2,2,4,0,4,0,0
2006-12-01,5,0,8,0,0,7,3,0,0,0,0,0,8,0,0,4,5,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,5,2,2,0,0,5,0,0
2007-01-01,8,0,4,8,0,7,6,0,9,0,0,7,8,0,5,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,8,0,0,0,4,0,4,0,0,7,5,0,0,4,0,0,0,4,0,0,0,0,10,5,0,5,5,0,4,0,0,5,0,0
2007-02-01,5,0,0,10,0,5,5,0,0,0,0,4,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2007-03-01,5,7,3,20,0,7,2,0,7,0,0,3,6,0,0,3,0,0,3,0,0,0,0,3,0,2,0,0,0,3,0,0,0,0,8,1,0,3,0,0,6,0,8,3,0,0,3,0,0,0,0,0,3,0,0,6,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0
2007-04-01,4,0,3,6,2,4,4,0,0,0,0,6,6,6,0,0,0,0,0,0,3,3,3,0,0,0,0,5,3,3,1,0,0,3,0,1,3,3,6,9,0,0,0,3,3,0,0,0,0,0,0,0,6,0,7,3,0,4,0,0,0,0,0,0,0,4,0,0,4,0,9,2,0,0
2007-05-01,5,6,0,0,0,7,2,0,6,0,0,3,6,0,0,0,4,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,5,0,0,3,3,0,3,8,0,0,0,0,0,0,0,0,5,0,0,0,7,0,7,4,0,4,0,0,0,0,0,3,0,0,4,0,1,0,8,4,0,0
2007-06-01,7,5,0,5,0,7,2,0,6,0,0,2,5,5,0,0,4,3,0,0,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,1,7,0,7,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,3,12,0,0,2,0,0,0,0,1,2,7,3,0,0
2007-07-01,2,0,0,5,0,3,4,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,2,0,0,0,0,2,0,2,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,12,0,0,0,0,3,0,3,2,2,0,4,0,0
2007-08-01,3,0,0,0,0,4,2,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,7,0,2,0,0,0,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0
2007-09-01,3,0,5,0,0,4,2,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,3,0,4,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,4,0,0,0,0,2,0,0,0,0,0,2,2,4,0,0,1,0,0,2,0,0
2007-10-01,7,5,0,0,2,4,4,0,0,3,6,0,5,0,0,0,0,3,0,0,2,0,0,0,2,4,2,0,0,0,0,0,0,0,0,2,2,2,0,0,5,0,0,5,0,0,2,0,0,0,3,0,2,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,92
2007-11-01,6,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,5,0,1,0,4,0,0,2,2,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,2,0,6,2,0,4,0,2,0,0,6,3,0,0,3,1,2,0,0,3,0,0
2007-12-01,4,0,2,0,0,4,2,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,4,0,0,0,0,33,2,0,0,2,0,4,0,0,0,0,0,0,0,3,3,0,1,2,0,0,0,0
2008-01-01,7,0,3,0,2,7,2,0,0,0,0,2,5,0,3,2,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,7,5,0,0,0,3,0,2,0,0,2,0,0,0,0,0,2,0,2,0,5,0,0,0,2,0,0,3,0,0,2,0,2,0,0
2008-02-01,4,5,4,0,2,5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,1,2,0,0,7,0,0,0,2,0,11,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,6,2,0,0,0,0,1,0,0,2,0,0
2008-03-01,6,0,2,4,1,5,0,0,0,0,0,0,7,0,0,0,3,0,2,2,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,4,2,0,3,2,0,2,0,0,1,0,0
2008-04-01,4,4,2,4,0,2,2,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,9,0,0,0,0,0,0,2,2,0,2,0,4,0,4,0,0,0,4,0,0,0,0,3,2,0,3,0,0
2008-05-01,4,0,0,4,0,6,1,0,0,0,4,3,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,3,0,2,1,2,0,2,0,1,2,2,2,0,0,0,0,2,0,8,2,0,0,0,0,0,1,0,0,3,0,5,0,2,0,0,4,2,2,3,2,0,1,2,0,0,0,0
2008-06-01,4,0,4,4,1,5,1,0,0,0,0,2,4,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,2,3,5,0,0,0,0,0,0,3,0,3,3,0,0,1,0,0,3,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0
2008-07-01,3,4,2,0,1,4,1,0,0,0,4,3,3,0,2,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,2,0,2,0,0,2,2,0,1,2,4,0,0,0,0,2,0,0,0,2,0,0,0,0,1,2,0,2,0,0
2008-08-01,3,4,2,0,1,4,2,0,0,0,0,0,0,0,2,3,0,2,2,1,0,0,2,0,0,2,2,5,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,2,0,2,0,3,2,0,0,3,0,0,2,0,3,0,2,0,0,0,0,1,2,0,0,2,0,0,1,5,63
2008-09-01,3,0,0,3,1,5,3,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,2,0,2,0,2,5,0,0,0,0,0,0,4,1,2,0,2,0,0,0,0,0,0,0,2,0,3,2,0,0,3,0,0,3,0,2,0,2,0,0,0,2,1,2,2,1,1,3,0,1,0,0
2008-10-01,4,0,3,0,1,5,2,0,4,0,0,1,0,0,0,3,2,0,0,0,0,0,3,0,0,1,0,3,2,0,0,0,0,0,4,1,1,0,0,5,0,0,4,0,3,0,1,4,0,1,0,0,0,2,0,1,0,1,0,0,14,0,0,1,0,2,0,1,1,2,0,1,0,0
2008-11-01,3,0,2,0,2,5,4,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,3,0,0,5,3,0,0,2,5,0,2,0,0,0,0,0,1,0,0,2,0,3,0,2,0,0,0,2,0,0,0,1,1,2,0,2,5,0
2008-12-01,2,3,0,3,0,6,3,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,1,0,0,1,3,0,0,0,1,0,3,0,0,1,1,0,0,5,3,0,0,0,0,0,1,0,3,2,0,0,1,0,0,1,0,2,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2009-01-01,4,4,2,4,1,3,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,3,2,0,1,0,0,2,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,3,0,3,3,1,1,2,6,1,6,0
2009-02-01,3,0,2,4,0,5,3,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0,1,0,0,2,0,1,2,0,0,0,0,0,0,2,4,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0
2009-03-01,3,3,2,3,0,7,1,0,0,0,0,4,6,0,2,1,0,2,1,0,1,0,1,2,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,5,9,0,0,1,0,7,2,0,0,1,0,0,1,2,4,4,0,3,0,2,0,0,0,3,0,2,2,0,1,1,0,2,0,0
2009-04-01,3,3,0,3,0,7,4,0,0,0,4,2,0,3,2,0,2,2,2,0,2,0,2,0,2,0,2,0,0,0,1,0,0,2,0,0,2,2,0,5,0,0,0,2,2,0,1,0,6,0,0,0,2,2,0,2,0,3,3,0,0,0,4,3,1,2,2,1,1,2,0,2,0,0
2009-05-01,4,0,0,3,2,8,1,3,0,2,0,1,0,0,0,0,0,2,2,0,0,2,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,4,5,0,0,0,0,0,0,4,0,3,0,0,0,3,2,0,3,5,1,0,0,0,0,0,1,0,0,2,0,1,2,0,2,0,0
2009-06-01,3,3,2,3,1,6,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,2,1,0,0,0,0,0,0,1,0,1,2,4,0,0,4,1,0,7,2,0,3,3,0,0,1,3,4,3,0,1,0,2,0,0,0,1,2,0,0,1,1,0,0,3,0,0
2009-07-01,2,0,0,3,0,8,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,1,4,0,0,0,1,0,0,1,4,0,0,0,0,2,0,0,1,0,1,3,2,0,0,0,0,0,0,2,0,1,1,0,4,0,0
2009-08-01,3,3,0,3,2,5,2,0,0,2,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,2,2,0,2,3,0,0,2,2,0,0,5,0,0,4,0,0,0,1,4,0,4,0,0,3,0,4,2,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,2,5,0
2009-09-01,4,0,3,0,1,4,3,0,0,0,0,1,0,0,0,1,0,2,2,1,1,0,1,0,1,1,3,0,2,0,2,0,3,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,3,2,0,0,2,0,0,3,5,1,0,0,0,0,4,1,0,2,2,1,1,0,5,2,0,0
