date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,0,62,80,84,0,36,0,13,0,59,0,31,0,0,0,0,0,0,0,0,25,0,0,0,0,100,0,0,0,20,54,0,0,0,0,0,0,0,0,0,0,0,0,63,0,28,0,0,0,92,0,0,0,0,0,0,0,75,0,7,38,0,0,0,0,0,0,0,84,0,0,0,46,0,0,0,62,0,72,100,34,0,0,63,0,0,0,0,79,100,60,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,61,0,0,0,23,0,0,0,0
2005-02-01,0,39,0,0,0,0,0,6,0,41,0,34,66,0,0,0,0,0,0,0,42,0,0,0,100,0,0,0,0,0,39,0,0,0,0,0,0,77,0,0,0,73,0,68,0,50,100,0,0,100,0,0,0,0,0,0,100,0,0,10,54,0,0,57,100,73,100,0,45,0,0,0,100,0,0,0,68,0,0,0,37,0,0,0,0,0,0,0,86,0,79,0,0,0,17,0,0,0,0,0,0,0,0,0,0,100,0,39,37,0,0,52,0,0,0,100,0,0,0,0,0,0,100,0
2005-03-01,0,35,0,83,0,36,0,5,0,41,0,61,0,0,100,0,0,0,0,0,27,0,35,0,0,0,0,0,0,29,72,0,0,100,0,87,0,0,0,0,0,100,0,0,0,55,91,0,0,0,0,0,0,0,0,0,0,0,0,10,32,0,0,0,0,0,0,51,41,0,38,0,0,0,0,0,0,53,71,99,50,0,0,0,0,0,21,0,78,0,39,0,0,100,30,0,0,0,49,0,0,0,0,0,0,0,55,0,0,53,0,0,0,0,0,0,35,0,0,23,0,0,0,0
2005-04-01,0,34,0,0,0,39,0,10,0,43,0,34,65,0,0,0,0,0,0,0,18,0,39,0,0,0,0,0,0,22,0,0,0,0,0,0,0,77,0,0,0,55,100,68,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,0,0,56,0,0,0,56,69,0,83,0,99,0,0,0,0,58,0,0,37,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,36,58,0,0,0,0,0,67,38,0,0,25,0,0,0,0
2005-05-01,0,47,0,0,0,52,0,8,0,37,0,30,58,100,0,0,0,0,0,0,18,0,35,0,0,0,0,0,0,19,70,0,0,0,0,0,0,68,0,0,0,0,88,61,0,40,89,0,0,0,0,0,0,0,0,0,0,0,0,18,26,0,0,51,0,0,88,0,0,0,0,0,88,0,0,0,60,52,69,0,65,0,82,61,100,0,20,0,0,0,23,0,0,0,15,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,100,100,0,0,0,0,0
2005-06-01,0,17,100,78,0,34,0,10,0,64,100,43,56,0,0,0,0,0,0,0,20,0,100,41,86,0,0,0,0,18,56,0,0,0,100,0,0,0,0,0,0,0,0,58,0,26,0,0,0,0,51,0,0,0,0,0,86,0,0,19,38,0,0,0,0,0,0,0,59,0,36,0,0,0,0,0,58,100,100,0,0,0,0,59,73,0,0,0,0,94,60,0,0,0,16,0,0,0,0,0,97,0,0,0,0,0,52,33,31,100,0,44,0,0,0,43,100,0,0,43,0,0,0,0
2005-07-01,0,49,0,78,0,0,0,15,0,63,0,29,0,96,93,0,0,0,0,0,34,0,0,20,0,0,0,0,0,0,100,0,0,93,33,0,0,0,0,0,0,0,0,0,0,51,85,0,0,0,0,0,0,0,0,90,0,0,0,8,25,0,0,48,0,0,0,0,58,0,35,0,42,0,0,0,58,0,0,0,31,0,0,0,71,0,19,0,73,0,33,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,33,31,49,0,0,0,0,0,56,33,0,0,0,100,0,0,0
2005-08-01,0,44,0,0,0,33,0,5,0,55,0,42,55,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,18,33,0,0,0,0,80,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0,0,47,0,61,0,0,76,0,34,0,42,0,0,76,0,49,65,91,31,0,76,0,0,0,38,0,0,0,22,0,0,0,14,0,0,0,0,0,0,0,0,0,100,0,50,0,30,0,0,44,100,0,100,83,0,0,0,21,0,0,0,0
2005-09-01,0,34,46,0,0,0,0,6,0,47,0,27,52,0,0,0,0,0,0,0,28,0,31,19,0,0,0,0,0,0,62,0,0,87,31,76,100,0,0,0,0,0,0,0,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,0,0,44,0,0,0,0,36,0,33,0,0,0,0,0,0,46,61,0,44,0,73,0,0,0,18,0,68,86,41,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,48,31,29,0,0,0,0,0,0,26,31,0,0,0,0,0,0,0
2005-10-01,0,74,0,70,0,0,0,9,0,61,0,77,100,0,84,0,100,0,0,0,36,0,0,0,0,0,0,0,0,16,45,0,0,0,0,0,0,0,0,0,0,0,0,52,0,46,76,0,0,0,45,0,0,0,0,0,0,0,0,11,14,0,100,0,0,0,0,0,0,0,32,0,38,0,0,0,0,66,59,0,28,0,0,0,96,0,0,0,0,0,40,0,0,0,34,83,22,0,0,0,0,0,0,0,0,0,0,59,56,0,0,0,0,0,0,25,0,0,0,0,0,0,76,0
