date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-01-01,0,53,0,49,100,0,41,0,0,0,0,0,0,100,0,0,70,0,100,0,0,0,0,100,0,0,53,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,97,0,0,100,0,100,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,46,0,0,100,43,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0
2005-02-01,0,27,0,0,0,82,46,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,59,100,0,32,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,65,0,0,0,33,0,0,0
2005-03-01,0,72,0,44,0,0,24,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,90,95,0,0,96,83,0,0,0,0,0,0,0,100,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,65,64,0,69,0,0,0,89,0,28,0,0,0,42,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,58,0,0,0,29,0,0,0
2005-04-01,0,0,0,47,95,0,39,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,94,0,0,96,0,0,0,0,0,100,0,0,0,100,69,0,0,0,0,0,55,0,100,0,0,0,0,0,0,0,0,83,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
2005-05-01,0,44,0,41,0,68,34,0,0,100,0,100,0,0,0,0,58,0,0,100,18,0,0,0,0,0,44,0,0,0,0,94,0,0,0,0,29,0,0,100,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,65,0,0,0,0,0,0,0,0,86,60,0,0,0,0,0,48,0,0,0,0,90,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,100,0,0,0,0,0,81,0,0,0,27,0,0,0
2005-06-01,0,45,93,0,85,70,42,0,42,0,0,0,0,0,0,0,60,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,29,0,0,52,0,0,54,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,86,0,0,0,0,0,0,0,0,0,0,0,64,0,0,100,84,0,27,0,0,0,60,0,0,0,37,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
2005-07-01,0,37,100,0,0,75,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,71,0,0,0,0,98,0,0,0,0,0,0,0,0,100,0,0,0,0,29,0,100,0,43,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
2005-08-01,0,0,0,100,0,82,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,32,0,0,0,47,0,100,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,0,21,0,38,0,0,20,0,0,0,0,0,0,0,0,0,54,0,0,0,25,0,100,0,0,0,0,0,0,0,0,87,0,81,0,0,0,0,0,93,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,100,0,0,0,0,0,0,0,36,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,50,0,0,0,25,0,0,0
2005-10-01,0,31,0,0,0,57,27,0,34,0,0,0,0,0,0,23,0,0,0,0,15,0,0,71,100,0,37,0,0,0,0,0,0,75,100,0,74,0,0,42,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,57,0,0,0,0,0,0,0,50,0,0,75,0,0,69,0,22,0,0,0,54,0,0,0,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,46,96,0,0,45,0,0,0
