date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-01-01,37,0,0,0,0,50,0,69,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,56,34,0,0,0,0,88,0,100,0,0,0,0,0,0,0,0,0,15,0,0,40,0,0,64,0,0,61,0,100,0,97,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,100,28,0,15,42,0,0,0,42,0,0,0,0,0,0,0,0,70,0,48,0,0,0,0,100,80,0,100,100,0,0,0,100
2005-02-01,60,0,100,0,0,45,0,76,0,0,0,0,0,0,0,63,0,0,0,0,0,93,0,0,0,97,0,0,100,0,0,0,0,0,0,25,100,0,0,0,0,0,0,0,100,61,0,0,0,0,0,0,0,22,0,0,0,0,100,100,0,74,0,0,0,0,0,0,0,100,27,0,0,15,0,0,100,0,0,0,0,100,0,23,100,0,0,0,100,0,46,0,0,100,0,0,0,0,0,0,53,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,46,0,81,0,0,61,0,63,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,60,0,0,82,0,0,0,100,0,0,41,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,30,0,0,0,0,0,83,0,0,24,0,81,0,37,0,14,38,0,0,0,37,100,0,0,0,45,0,0,72,0,43,0,0,81,0,0,0,0,99,0,0,38,0,0,0
2005-04-01,56,54,0,100,0,54,0,0,0,0,0,0,0,0,0,88,0,0,0,51,100,0,0,0,0,68,0,0,95,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,94,23,0,0,28,0,0,95,0,0,28,0,94,0,53,0,16,29,0,0,0,43,0,0,0,0,0,0,0,83,0,49,100,0,93,0,100,0,0,0,0,0,0,100,0,0
2005-05-01,19,0,0,0,0,54,0,60,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,57,0,0,0,42,87,0,0,29,0,30,80,0,0,0,88,0,0,0,0,0,0,0,0,0,0,100,0,18,0,0,55,0,0,0,0,58,0,84,0,100,0,62,0,0,19,0,0,12,0,0,0,0,0,23,0,0,0,36,0,0,0,0,0,0,41,0,0,79,0,32,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,38,0,0,0
2005-06-01,57,46,0,0,100,59,0,60,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,100,58,0,0,0,0,0,84,49,30,0,0,0,37,77,0,0,100,0,0,0,48,0,0,0,0,0,0,0,0,0,0,55,0,0,53,0,58,0,84,0,100,0,0,0,0,22,0,0,12,0,0,0,0,0,23,100,0,0,18,0,13,24,0,80,0,24,0,0,0,0,33,0,0,70,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
2005-07-01,42,100,0,0,0,62,0,67,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,46,95,0,0,0,0,22,0,41,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,88,16,0,0,13,0,0,0,0,0,26,0,0,96,50,0,22,0,70,0,0,36,0,0,0,0,36,0,0,78,0,0,47,0,0,0,94,0,77,0,0,0,41,0,0,0
2005-08-01,51,0,0,0,78,88,0,0,0,0,0,0,0,0,0,57,0,0,0,0,97,0,0,0,0,0,0,0,0,48,100,0,0,34,0,0,92,0,88,0,0,0,0,0,92,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,41,0,26,28,0,0,0,46,0,0,0,0,0,0,0,80,0,0,0,0,0,100,0,0,100,0,0,100,0,0,0,0
2005-09-01,40,0,72,0,0,100,0,55,0,0,0,0,0,0,0,68,0,0,0,0,77,100,0,0,0,52,0,0,73,38,0,0,0,0,0,18,72,100,0,0,79,0,0,0,72,0,0,0,0,0,0,0,0,16,0,0,100,0,0,48,77,53,0,0,0,89,100,56,0,0,13,0,0,11,0,0,73,0,0,21,0,72,0,33,0,0,22,58,73,0,51,0,0,0,0,30,0,0,64,0,38,0,0,0,0,0,0,32,86,0,0,0,0,0,0
2005-10-01,96,0,66,0,55,88,0,0,0,0,0,0,0,0,0,42,0,85,100,0,71,0,0,0,84,49,0,0,0,35,0,0,41,25,0,41,0,31,0,0,0,83,0,0,0,41,0,0,0,0,0,0,0,15,0,0,46,0,0,0,0,48,0,0,0,83,0,0,0,0,24,0,0,20,0,100,67,0,0,20,0,66,0,30,0,11,34,54,0,0,34,0,0,0,0,0,0,0,59,0,0,0,0,66,0,0,0,29,81,0,0,31,0,0,0
