date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Belgian Endive,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,95,24,17,42,0,8,0,12,100,64,51,26,0,0,0,0,0,20,0,0,0,0,10,0,6,0,0,0,13,0,12,38,0,0,44,0,0,36,11,8,83,0,27,34,0,48,22,12,45,33,0,10,0,0,23,43,0,0,0,0,67,0,7,0,31,52,21,100,25,100,35,0,0,32,0,0,95,0,46,0,51,100,23,64,0,13,7,68,37,18,24,0,64,0,6,0,17,0,0,0,4,0,0,34,32,21,5,12,31,0,0,0,13,3,9,10,0,5,100,100,0,18,41,0,0,40,7,52,0,0,0
2005-02-01,0,21,0,39,100,0,0,12,0,65,0,25,0,96,0,0,14,14,0,0,0,0,14,0,6,0,91,0,9,0,12,33,0,0,46,0,0,25,16,20,65,0,57,35,48,100,36,8,26,0,34,21,0,0,24,37,0,0,0,57,35,0,7,0,49,36,29,70,23,0,36,0,74,17,0,0,100,0,66,0,0,0,15,55,0,12,14,53,39,20,38,0,50,0,11,16,17,0,41,0,3,5,77,35,31,25,0,12,33,0,0,86,16,5,16,21,0,4,0,0,0,13,28,68,0,42,8,0,0,0,0
2005-03-01,88,22,32,52,0,5,0,12,0,67,62,24,0,0,0,0,37,12,72,0,0,0,14,10,4,0,0,0,7,0,14,29,0,0,40,0,0,16,16,14,57,0,34,31,0,66,12,13,30,60,44,9,14,0,28,29,0,0,0,0,61,0,0,60,43,32,13,46,15,0,0,0,0,44,0,0,44,0,63,0,0,92,15,54,0,18,12,0,29,23,13,0,37,0,12,21,18,0,36,0,2,5,0,0,33,22,0,18,0,0,0,75,8,3,10,9,100,8,0,0,0,16,28,80,0,100,8,48,0,0,0
2005-04-01,96,20,35,43,0,8,0,12,100,66,0,22,0,0,0,0,0,0,0,0,0,0,12,11,8,0,88,0,6,0,10,13,0,0,44,58,0,18,11,23,0,0,37,0,0,49,19,9,47,0,33,23,0,0,0,50,0,0,0,0,0,0,7,0,0,35,14,68,34,0,70,0,72,24,0,0,97,100,54,0,52,0,25,70,0,10,17,34,28,18,37,0,55,0,13,31,19,0,40,0,2,0,75,0,36,16,5,17,0,0,76,0,25,2,6,12,0,8,0,0,0,15,21,44,0,82,8,53,0,0,0
2005-05-01,83,16,23,33,0,23,0,12,0,87,0,16,0,0,0,0,12,12,0,0,0,0,13,0,10,0,0,0,7,0,10,22,0,0,33,100,0,16,30,7,55,0,40,0,40,84,28,11,43,58,57,41,20,0,30,75,0,0,0,0,20,0,6,0,54,15,31,58,20,0,31,0,62,14,0,0,0,0,44,0,0,88,29,51,0,4,18,0,16,26,21,0,46,0,9,14,15,0,0,0,3,4,0,29,49,28,0,17,0,0,65,0,10,1,11,9,0,6,44,0,0,26,18,76,0,71,5,46,0,0,0
2005-06-01,84,17,54,29,0,18,0,10,0,80,30,21,50,0,0,100,12,30,0,0,0,0,8,0,10,0,77,0,8,0,5,22,0,76,42,50,100,16,10,23,55,0,0,61,41,43,34,12,16,39,43,21,10,0,20,44,0,0,0,0,0,0,6,58,41,15,12,89,27,0,31,100,63,14,0,0,42,0,31,0,45,0,13,47,0,9,15,61,50,23,28,0,41,0,13,20,14,100,52,0,2,5,0,0,21,33,0,15,0,0,0,0,13,2,6,30,0,8,0,0,0,34,24,38,0,36,20,47,0,0,0
2005-07-01,0,21,46,29,0,5,0,19,0,73,30,32,49,0,100,99,12,12,0,0,0,0,6,0,10,0,0,0,4,0,10,11,0,0,62,100,0,32,10,10,55,0,36,0,0,42,8,8,24,87,28,55,10,0,20,66,0,0,0,0,0,0,6,0,82,30,12,0,20,0,31,0,62,28,0,0,0,0,37,0,45,88,20,42,0,0,15,100,55,14,19,0,42,0,11,13,15,0,35,0,2,4,0,0,21,21,5,17,28,0,0,72,7,1,7,15,0,1,44,44,100,21,21,38,0,48,12,46,0,0,0
2005-08-01,0,31,32,39,0,5,0,9,0,63,0,29,51,0,0,0,43,18,73,0,0,0,3,10,18,0,0,0,4,0,11,31,0,0,31,0,0,17,21,19,0,0,50,31,84,0,48,17,36,30,29,21,16,0,21,39,0,0,0,0,20,0,0,0,0,32,0,0,23,0,48,52,0,29,0,0,44,91,39,0,47,0,13,49,0,9,37,62,40,13,13,0,46,0,31,0,15,0,36,0,2,5,68,31,22,34,7,11,0,0,34,75,13,3,19,14,0,9,0,0,0,25,19,0,0,25,5,48,0,0,88
2005-09-01,0,39,28,42,0,6,0,14,0,87,55,25,0,0,0,91,11,21,0,0,0,0,12,9,16,0,70,76,8,0,11,20,0,0,19,0,0,15,21,10,100,0,37,0,0,38,20,21,23,0,34,35,9,0,28,46,0,0,0,44,0,0,6,0,25,14,17,40,18,0,28,0,57,26,0,0,96,0,28,0,41,0,32,77,83,8,57,55,55,28,12,0,48,0,29,16,18,90,63,0,3,10,0,0,29,32,13,37,0,0,30,0,13,2,18,7,0,12,0,0,0,21,35,35,0,22,7,42,100,0,77
2005-10-01,70,36,19,28,0,6,0,7,0,71,25,27,0,0,0,83,15,29,59,0,0,0,16,0,7,0,64,0,13,100,20,14,0,0,7,0,0,27,17,22,69,0,27,0,0,35,25,18,40,0,35,33,25,0,17,26,0,0,0,0,0,0,7,0,0,13,26,49,27,0,0,0,0,23,0,0,53,73,34,0,0,74,26,78,0,15,12,25,32,21,16,0,51,0,19,38,19,83,43,70,9,34,0,25,23,16,4,9,0,61,27,0,20,2,30,10,0,7,0,0,0,19,15,0,0,20,8,38,0,63,0
