date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Lychee,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Cassava
2005-01-01,0,48,0,0,0,0,0,46,0,58,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,100,0,0,0,0,100,0,0,0,0,0,0,96,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,0,25,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,39,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,55,0,0,0,0,0,0
2005-03-01,0,23,0,0,0,0,0,45,0,74,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,90,0,0,0,0,0,0,52,0,0,67,100,0,0,0,0,0,0,32,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,100,0,0,0,0,100,0
2005-04-01,0,24,0,0,100,78,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,93,0,0,0,0,100,0,0,0,0,0,0,0,0,94,0,0,0,33,0,0,16,0,0,0,100,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,100,0,0,0,0,0,0,0
2005-05-01,0,32,0,0,0,68,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,100,0,88,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,82,43,0,98,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,45,71,0,81,0,0,0,29,0,100,14,0,0,0,0,0,0,0,0,0,0,0,62,0,33,100,0,0,0,0,43,46,0,0,0,0,0,0
2005-06-01,0,46,0,0,0,0,0,88,0,55,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,22,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,87,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
2005-08-01,0,63,0,0,0,0,0,80,0,50,0,0,0,0,86,0,0,0,100,0,0,0,0,88,0,0,0,0,0,100,88,0,0,0,100,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,100,0,0,0,0,0,0,0,0,46,72,0,83,0,100,0,19,0,0,14,0,0,0,87,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
2005-09-01,0,26,0,100,0,0,0,37,0,92,0,0,0,0,0,0,53,0,0,0,0,0,0,81,0,0,0,0,0,0,81,0,0,0,0,0,0,0,71,0,80,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,56,0,0,0,0,0,0,100,27,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,42,0,0,0,68,0,0
2005-10-01,0,54,0,0,0,0,0,34,0,57,0,0,0,0,0,0,49,0,0,0,0,63,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,53,0,28,0,33,0,0,0,37,38,0,0,0,0,0,0
