date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Jerusalem Artichoke,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Loquat,Lychee,Mangos,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radishes,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2005-01-01,0,0,0,0,0,52,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,92,0,56,0,0
2005-02-01,55,0,0,0,0,47,72,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,0
2005-03-01,75,0,86,0,100,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,54,0,0,100,0,0
2005-04-01,53,0,100,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,96,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0
2005-05-01,0,0,81,0,0,44,56,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,100,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,80,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,100,0,0,47,0,0
2005-06-01,43,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,85,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,52,0,0,0,0,0
2005-07-01,42,0,0,0,93,100,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,100,0,0,0,100,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,79,0,0,0,0,0,0,79,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,100,0,79,0,0,0,0,0,61,0,0
2005-08-01,41,0,78,0,0,21,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,91,0,0,0,0,0,99,0,41,82,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,41,78,0,100,91,21,53,0,0,0,0,0,0,0,0,0,0,0,100,0,0,92,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,87,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,75,0,0,0,0
2005-10-01,0,0,0,0,88,34,0,0,0,0,0,0,0,0,70,0,0,0,95,0,0,0,0,0,0,0,86,0,95,0,100,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,75,0,0,0,0,0,0,0,0,0,84,0,0,89,73,0,72,0,0,0,0,0,0,89,0,0,0,75,0,0,47,0,0,43,0,0
2005-11-01,56,0,0,0,84,29,100,0,0,0,0,0,0,0,68,0,100,100,92,0,0,0,0,0,0,0,0,0,91,0,96,0,0,90,0,0,70,100,93,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,91,0,0,93,0,0,100,87,0,0,69,0,0,0,0,0,0,0,72,0,0,0,0,0,45,0,0,0,0,0
