date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,0,30,88,0,0,100,0,0,0,39,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,50,0,0,46,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,100,0,0,0,38,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,68,0,0,0,100,0,0,0,38,100,0,0,100,38,0,0,0,0
2005-02-01,0,46,0,100,0,0,0,0,0,46,0,40,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,51,0,0,46,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,0,67,0,0,45,0,0,39,0,0,0,68,0,0,0,9,0,0,0,67,0,0,0,0,0,0,0,45,0,0,100,0,0,0,0,0,40,0,0,0,0,77,0,0,0,0
2005-03-01,0,46,76,0,0,0,0,38,0,34,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,0,0,0,70,0,0,0,0,69,0,0,0,0,0,0,0,100,43,0,0,39,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,85,0,0,57,0,0,100,0,0,0,58,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,38,59,0,43,0,0,0,0,0,100,0,0,0,0,81,100,0,0,0
2005-04-01,0,42,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,59,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,58,100,0,0,45,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,67,78,0,0,0,0,0,44,0,0,39,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
2005-05-01,0,38,0,0,0,85,0,0,0,33,0,68,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,0,67,0,68,100,0,0,0,0,0,0,49,42,0,0,39,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,41,0,99,0,0,0,56,65,0,0,55,100,0,50,0,0,33,0,100,0,56,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,37,58,100,0,0,0,0,0,0,49,0,0,0,0,32,0,0,0,0
2005-06-01,0,48,72,78,0,79,0,35,0,52,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,80,0,46,0,0,0,0,0,0,0,0,63,100,0,0,0,0,0,0,0,0,46,0,0,0,55,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,46,0,0,0,0,0,0,0,52,0,80,36,53,0,30,0,0,72,54,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,31,0,0,0,0,30,0,0,0,0
2005-07-01,0,41,66,0,0,76,0,100,0,39,0,30,0,0,0,0,0,0,0,0,0,0,0,76,0,75,0,0,0,88,0,0,0,0,0,0,0,93,60,0,0,74,0,0,0,0,44,38,0,0,86,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,88,0,0,0,50,0,0,0,100,0,76,34,0,0,29,0,89,69,51,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,59,0,0,76,0,0,0,29,0,0,0,0,57,0,0,0,0
2005-08-01,0,63,100,0,0,0,0,0,0,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,90,0,0,0,0,75,0,0,0,0,44,38,0,0,69,0,0,75,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,100,59,100,0,50,0,75,0,100,0,29,0,88,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,34,53,0,0,0,0,0,0,0,44,0,0,0,0,28,0,0,0,0
2005-09-01,0,87,0,72,0,0,0,32,0,52,0,58,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,85,0,0,100,0,0,0,0,0,86,0,0,0,0,0,0,0,84,36,0,0,100,100,0,71,36,0,0,0,100,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,36,0,42,0,0,0,96,56,0,0,48,0,0,32,0,0,28,0,0,100,0,0,60,0,13,0,0,0,48,0,0,0,0,0,0,0,32,100,0,0,0,0,0,0,0,42,0,0,0,0,54,0,0,0,0
2005-10-01,0,43,0,0,0,0,0,0,0,23,0,28,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,41,0,0,59,0,0,0,0,0,0,89,0,84,0,0,0,0,0,0,0,36,0,0,66,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,66,96,0,0,0,6,0,0,0,47,0,0,0,0,0,0,0,32,0,0,36,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
2005-11-01,0,45,67,0,0,0,0,33,0,20,0,45,100,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,44,95,0,0,35,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,100,87,0,0,0,0,0,0,0,0,0,44,0,0,0,0,58,0,0,50,0,0,100,0,0,29,0,0,69,51,0,0,0,7,100,0,0,50,0,0,0,0,0,0,0,66,78,0,74,0,77,0,0,0,29,0,0,0,0,0,0,0,0,100
2005-12-01,0,20,0,0,0,0,0,0,0,25,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,52,0,0,0,0,63,0,0,0,0,38,66,0,0,60,91,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,76,0,0,38,0,100,0,44,50,0,0,43,79,66,29,0,0,25,0,0,0,44,0,0,0,12,0,0,0,65,0,0,0,0,100,0,0,29,44,52,64,0,0,0,0,0,38,32,0,0,0,49,0,0,0,0
2006-01-01,0,36,54,0,0,0,0,27,0,36,0,48,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,71,51,0,0,100,0,100,48,0,0,0,0,60,0,0,0,0,0,30,0,0,42,0,0,60,15,0,0,0,84,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,94,0,40,0,0,0,40,0,0,45,40,0,23,0,0,0,41,0,100,0,11,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,47,30,0,0,61,23,0,0,0,0
