date,Apple,Apricot,Artichoke,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Honeydew Melon,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-01-01,38,0,0,0,0,50,0,20,0,56,0,0,0,0,0,0,0,11,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,52,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,33,0,0,37,0,98,0,0,0,0,0,0,0,41,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,100,0,0,0,0,72,100,0,100,0,0,0
2005-02-01,58,0,52,0,0,51,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,35,0,0,100,0,0,48,0,0,0,0,0,0,0,0,0,17,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,72,0,0,0,0,0,0
2005-03-01,68,100,46,0,0,66,0,26,0,0,0,0,0,0,0,0,0,8,0,0,0,31,0,0,0,0,0,42,0,0,100,0,0,0,97,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,100,0,0,88,100,0,0,0,0,0,0,0,0,0,29,0,0,33,0,0,0,0,0,0,0,0,100,36,0,0,0,100,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,37,0,100,0,0,24,0,26,0,54,0,0,0,0,100,0,0,6,0,0,0,33,100,0,0,0,0,0,0,0,0,73,100,0,0,0,0,0,0,59,93,0,0,92,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,100,0,0,0,0,0,0,58,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,69,0,0,0,0,0,0
2005-05-01,47,0,0,100,0,20,0,35,0,46,0,0,0,0,0,0,0,8,0,0,0,28,0,0,0,0,100,78,0,0,0,0,86,0,0,0,0,14,100,100,0,0,0,78,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,24,0,0,0,100,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
2005-06-01,33,98,0,0,0,43,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,30,0,0,0,0,0,62,0,0,0,0,0,0,94,0,0,0,0,35,0,0,0,0,0,0,0,45,0,0,0,0,0,0,43,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,65,57,0,0,0,0,0,0,0,0,26,0,100,0,35,0,0,0,98,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,87,0,0,0
2005-07-01,33,0,0,0,0,22,0,10,0,100,0,0,0,0,0,0,0,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,93,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,61,0,0,0,0,52,0,28,0,0,100,0,0,0,0,0,0,6,0,0,0,36,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,39,0,0,0,0,0,0,100,0,0,43,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,76,0,100,79,0,0,0
2005-09-01,47,0,38,0,0,36,0,13,0,0,0,100,100,0,0,0,0,5,0,0,0,25,0,0,0,0,0,0,0,0,82,0,0,0,0,100,0,13,89,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,54,24,0,0,0,0,71,0,0,0,21,0,0,0,29,0,0,0,61,0,33,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,52,72,0,36,0,0,0
2005-10-01,53,0,36,0,0,26,0,28,0,0,0,0,0,0,0,0,0,10,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,28,68,0,0,67,0,0,0,36,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,69,0,0,0
