date,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2005-01-01,17,0,0,0,0,0,54,0,71,0,59,0,0,0,0,0,0,68,0,0,0,95,100,0,0,0,0,0,0,0,0,0,0,0,59,100,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,61,0,0,0,100,100,0,0,0,0,0,75,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,100,0,0
2005-02-01,18,84,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,62,100,0,0,0,100,92,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,33,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
2005-03-01,19,0,0,0,0,0,50,0,36,0,54,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,77,0,0,0,77,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,80,0,0,41,0,0,0,0,100
2005-04-01,0,81,0,0,0,0,0,0,54,0,62,0,0,0,0,0,0,71,0,0,0,100,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,35,0,0
2005-05-01,9,0,0,0,0,100,47,0,51,0,52,0,0,0,0,0,0,58,0,0,0,0,0,0,100,0,0,0,0,0,53,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,100,0,0,0,75,0,0,26,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,39,0,0,0,0,0
2005-06-01,17,0,0,0,74,0,46,0,22,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,51,0,0,0,0,0,0,0,0,0,78,0,0,0,0,71,0,0,0,0,100,0,0,0,0,0,0,0,0,0,86,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,97,0,0,0,0,0,0,0,0,0,72,98,0,73,0,0,51,0,0,38,0,0
2005-07-01,25,0,100,0,0,0,0,0,85,0,49,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,71,0,0,100,0,0,0,0,0,0,0,0,0,0,69,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,82,0,0
2005-08-01,21,0,0,0,0,0,0,0,54,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,100,84,0,0,0,0,0,0,0,0,0,71,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
2005-09-01,17,0,99,0,71,0,0,0,42,0,73,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,70,0,0,0,0,0,0,73,82,0,0,100,47,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,35,0,0,62,0,0,0,0,0,0,0,0,0,0,0,70,69,0,0,0,0,0,0,37,0,0,0,0,0
2005-10-01,24,60,0,0,100,0,0,0,45,0,61,0,0,91,0,0,0,52,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,58,83,0,0,0,0,0,0,0,0,0,0,0,33,0,0,62,0,100,0,0,0,0,0,0,0,0,0,66,0,98,0,0,100,0,0,69,0,0,0,65,0
2005-11-01,21,64,0,0,0,0,0,0,75,0,49,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,50,100,0,0,49,0,95,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,100,32,0,0,0,88,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,74,0,0,28,0,0
