date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,0,55,0,0,0,0,56,0,87,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,70,0,0,100,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,62,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,0,52,0,100,100,0,79,0,55,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,94,0,0,0,0,100,0,0,58,0,0,0,0
2005-03-01,0,74,0,95,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,51,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,99,0,0,0,63,100,0,89,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
2005-04-01,0,72,0,93,0,0,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,70,0,0,0,0,0,0,88,0,100,0,0,0,0,0,85,0,100,0,0,0,96,0,0,0,60,0,0,0,0,0,78,0,100,0,0,100,0,33,0,0,0,0,0,0,0,43,0,0,0,0,100,0,0,53,0,0,0,72,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
2005-05-01,0,86,0,0,0,65,43,0,0,0,0,0,0,0,0,0,65,0,0,0,0,66,0,0,0,62,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,0,45,100,86,0,0,67,0,0,85,0,0,0,0,0,0,68,0,0,0,0,46,0,0,0,64,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,93,0,0,93,0,30,0,0,0,0,0,0,0,0,0,59,0,0,0,80,0,100,0,0,100,0,0,0,56,0,0,0,90,0,0,0,0,0,0,0,68,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0
2005-07-01,0,50,0,0,0,76,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,89,50,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,0,69,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,83,0,0,0,0,0,0,0,94,0,0,0,93,73,0,86,0,0,0,83,0,0,0,52,0,0,0,0,0,66,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,100,0,0,0,0,0
2005-09-01,0,52,76,0,0,53,43,0,36,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,43,0,0,62,0,0,56,0,0,85,0,71,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,100,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,39,0,0,0,0
2005-10-01,0,33,0,0,0,100,58,0,35,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,74,0,0,68,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,82,0,0,0,22,0,0,0,0,0,59,0,30,0,0,0,0,69,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,59,0,0,0,0,63,98,0,37,0,0,0,0
2005-11-01,0,56,0,0,0,0,67,0,0,0,0,0,0,0,0,0,51,0,0,0,0,69,0,71,100,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,67,0,0,0,42,69,0,0,0,0,0,0,0,0,0,0,100,46,0,0,0,0,100,0,0,0,0,0,0,0,70,60,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,51,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0
2005-12-01,0,100,0,76,0,0,70,0,0,0,100,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,76,0,0,0,0,0,0,0,0,100,0,0,0,54,0,0,0,0,0,0,0,36,0,0,0,0,83,72,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,83,0,0,0,0,50,0,69,0,0,0,0,0,0,0,100,0,0,0,0,34,0,0,0,0,0,66,0,0,0,0,60,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,22,0,100,0,0,0,0,33,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,63,0,0,0,0,0,63,0,0,37,0,0,0,0
2006-02-01,0,31,0,0,0,47,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,100,0,100,0,0,0,0,0,70,55,63,0,0,0,0,0,0,0,0,52,0,0,0,0,0,100,0,0,78,0,0,0,35,0,0,0,0,0,56,0,28,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
2006-03-01,0,53,0,0,25,0,66,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,38,0,79,0,0,0,0,0,0,55,0,0,0,0,0,47,0,0,0,0,0,53,0,0,0,66,0,0,0,0,0,42,0,0,0,0,0,0,27,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,0,0,0,39,0,0,100,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,41,0,0,0,95,54,0,32,0,0,0,0,100,0,0,47,0,100,0,0,64,0,65,0,45,0,62,0,0,0,0,0,0,0,0,0,0,0,0,55,63,0,0,0,0,0,0,0,0,39,0,0,0,0,0,50,0,0,77,0,0,0,49,0,93,0,0,0,0,31,56,0,0,0,0,0,0,0,35,0,0,0,93,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,50,0,0,0,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,36,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,100,0,0,0,0,0,0,0,93,0,0,28,0,0,0,0,0,0,25,22,0,0,0,0,52,44,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,48,0,0,28,0,0,0,0
2006-06-01,0,26,0,0,0,0,26,0,28,0,0,0,0,0,0,0,40,0,0,0,0,55,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,60,47,0,55,0,0,0,53,0,0,0,67,0,0,0,0,0,0,0,0,0,100,56,0,30,0,0,0,0,0,48,0,0,0,0,0,0,55,0,0,0,0,0,0,39,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,76,0,65,0,0,0,0,100
2006-07-01,0,57,0,0,0,0,15,0,0,0,72,0,0,0,0,0,0,0,0,0,0,45,0,0,0,42,0,0,0,0,0,0,53,0,0,0,0,0,0,65,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,20,0,87,0,0,0,53,29,52,0,0,0,0,0,0,0,66,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,56,0,0,0,0,0,0,0
2006-08-01,0,24,0,0,0,37,67,0,38,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,70,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,49,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,58,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,32,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,71,0,45,0,0,45,0,29,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,50,33,0,0,82,0,0,0,0,0,0,0,100,0,0,0,66,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
2006-10-01,0,27,0,77,0,0,40,0,21,0,0,0,0,0,0,0,30,0,0,0,0,28,0,42,59,29,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,25,0,0,36,0,0,32,0,0,0,0,0,0,20,0,61,0,0,0,36,0,18,0,0,0,100,83,0,0,23,0,0,0,0,0,0,25,48,0,0,0,0,0,0,93,0,0,0,31,0,38,36,0,0,0,0,57,0,0,33,0,0,0,0
2006-11-01,0,62,0,39,0,0,77,0,21,0,0,0,0,0,37,0,0,0,0,0,0,43,77,0,0,45,0,41,0,0,0,0,37,0,0,46,0,0,0,0,0,0,0,0,0,0,41,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,100,0,0,37,0,0,0,0,0,0,43,0,0,23,0,0,0,61,0,0,26,0,0,0,0,0,0,0,0,0,0,0,31,0,0,37,0,0,0,0,39,0,0,23,0,100,0,0
2006-12-01,0,36,0,46,0,37,55,0,0,0,0,0,0,0,0,0,0,0,78,0,0,38,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,64,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,27,0,0,0,36,0,0,30,0,50,0,0,0,0,0,0,0,0,0,37,0,0,43,0,0,0,0,93,0,0,27,0,0,0,0
2007-01-01,0,52,87,0,19,30,44,0,41,0,0,0,0,0,0,0,30,0,62,0,74,20,0,0,0,28,100,39,0,0,0,0,35,62,0,0,0,0,0,0,35,39,41,66,0,0,39,0,0,0,36,0,0,0,0,0,31,0,0,0,0,41,0,13,0,59,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,29,0,0,24,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,37,0,0,0,0,0,0,0
2007-02-01,0,38,0,0,0,29,48,0,20,37,0,0,0,0,0,0,0,0,61,0,0,20,0,0,0,56,98,0,0,0,0,61,0,0,0,0,0,0,0,0,34,0,40,0,0,100,0,0,0,0,48,0,0,0,0,0,0,0,39,0,0,0,0,17,0,0,0,0,0,34,0,17,100,0,0,0,0,0,0,64,0,0,0,0,0,0,24,0,0,0,39,0,0,100,0,0,0,0,0,0,36,35,0,0,0,0,36,0,0,21,0,0,0,0
2007-03-01,0,39,37,32,16,0,41,0,29,0,0,0,0,0,0,0,25,0,0,0,63,28,0,0,0,24,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,69,56,0,0,33,0,0,0,90,34,0,0,0,0,27,0,0,0,62,35,0,11,0,0,0,0,0,0,50,15,0,0,0,82,0,30,0,28,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,86,0,0,0,63,0,0,37,0,0,0,0
2007-04-01,0,55,0,0,0,0,37,0,0,35,0,0,0,0,0,0,28,0,59,0,0,38,0,0,0,26,0,0,0,0,35,0,33,0,38,0,0,0,0,0,32,37,0,62,100,0,0,0,0,0,35,0,0,33,0,0,30,0,0,0,0,38,0,19,0,0,0,0,0,33,0,16,0,0,100,0,38,0,0,41,0,0,41,55,0,0,23,0,0,0,0,0,100,0,0,0,0,0,28,0,0,0,0,0,0,0,35,0,0,20,0,0,0,0
2007-05-01,0,28,31,0,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,81,0,0,0,0,0,0,0,45,0,0,0,0,0,0,25,28,0,0,0,0,0,0,0,0,35,0,0,25,0,0,23,0,0,35,52,29,0,32,0,0,0,0,0,25,0,13,0,18,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,67,0,0,16,0,0,0,0
2007-06-01,0,66,0,0,0,23,40,0,46,0,0,0,100,0,0,0,22,0,0,0,56,30,0,0,0,43,0,60,0,0,0,0,0,0,31,0,0,0,0,67,26,0,0,100,0,0,0,0,0,0,46,0,0,0,0,0,24,0,0,36,0,0,0,13,0,45,0,0,0,26,0,20,0,0,0,73,31,0,0,0,0,0,0,44,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,0,0,25,0,0,0,0
2007-07-01,0,38,0,30,0,23,46,0,16,0,0,100,0,0,0,0,35,0,0,0,0,53,0,32,0,37,0,31,0,0,0,50,27,0,0,0,0,100,0,0,28,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,32,0,31,0,0,0,0,0,0,16,14,0,20,85,0,32,28,0,17,0,45,0,23,0,0,19,0,32,0,32,0,0,0,0,0,0,0,24,0,30,0,79,0,0,0,29,0,0,0,0,0,0,0
2007-08-01,0,13,29,0,12,20,42,0,13,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,38,31,0,0,0,0,24,41,0,0,0,0,0,0,0,0,0,0,27,0,0,34,0,0,0,0,43,0,0,23,0,0,21,0,27,0,0,0,0,13,0,39,0,0,0,0,13,12,0,0,71,0,0,0,0,15,0,0,0,29,0,0,16,31,27,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,100,0,62,0,0,22,0,0,0,0
2007-09-01,0,28,26,0,0,0,39,0,12,0,0,0,80,0,0,0,0,0,0,0,0,20,0,0,0,17,0,0,0,0,0,38,21,0,0,0,0,0,0,27,42,0,0,0,0,0,24,0,100,0,75,0,0,21,0,0,38,0,0,29,0,0,0,16,0,0,0,0,0,0,0,11,0,16,0,0,25,0,0,20,100,0,0,0,0,0,15,0,25,0,24,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,57,0,28,26,0,0,0,0
2007-10-01,0,26,0,21,0,17,39,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,42,0,0,16,0,22,0,0,0,0,20,0,0,0,100,0,0,0,0,0,23,0,0,0,22,0,0,0,28,0,0,0,0,100,36,0,0,0,0,23,0,8,0,34,0,0,0,20,0,13,57,0,0,55,0,0,0,25,0,0,0,17,0,0,28,0,0,0,22,0,0,0,0,0,0,0,0,0,43,20,0,0,0,25,21,65,27,25,0,0,0,0
2007-11-01,0,56,0,22,0,0,39,0,12,0,0,0,0,0,0,0,0,0,36,0,0,39,0,0,33,38,58,45,0,0,0,36,0,0,23,0,0,0,0,38,20,23,0,38,0,30,22,0,0,0,28,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,30,0,31,0,15,0,0,47,0,0,19,0,0,25,85,0,0,35,0,0,0,0,18,0,60,0,0,0,0,17,20,21,0,0,0,0,0,43,34,0,13,34,0,0,0
