date,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-01-01,54,0,0,0,0,10,0,41,0,0,0,0,0,0,92,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,68,92,0,0,92,0,0,0,71,93,0,0,100,0,0,0,0,100,0,0,0,0,43,0,0,0,0,0,0,92,18,0,0,0,72,0,0,0,0,48,0,0,0,0,91,0,0,0,37,0,0,0,64,0,0,22,0,0,0,100,0,0,0,100,0,0,0,0,46,49,0,0,0,0,0,0,38,0,0,0,0,0,100,0,100
2005-02-01,39,0,100,0,0,14,0,50,0,0,0,0,0,0,0,0,0,9,0,0,0,48,0,100,0,0,24,67,0,0,0,0,80,0,0,100,0,0,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,47,0,0,94,0,100,0,100,0,0,0,0,79,0,88,0,0,0,0,0,0,0,100,0,0,0,79,0,0,0,70,0,0,24,0,0,0,55,100,0,0,0,0,0,0,56,100,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
2005-03-01,74,100,0,0,0,14,0,66,0,45,0,0,0,0,0,0,0,7,0,100,0,0,0,85,0,0,0,56,0,0,0,0,0,0,64,0,0,0,84,86,0,0,65,85,0,0,0,52,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,74,0,0,0,0,0,0,100,0,0,0,0,51,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,100,48,0,0,0,0,51,0,0,0,0,89,0,0,0,0,0,0,0
2005-04-01,59,0,0,0,0,16,0,33,0,53,87,0,0,100,100,0,0,11,0,0,43,0,0,100,0,0,0,100,0,0,100,0,79,0,73,0,0,0,0,100,0,0,0,0,100,0,0,61,0,0,0,0,0,0,100,0,0,100,0,0,0,0,53,0,0,0,0,0,0,0,0,0,66,0,0,0,48,0,0,0,0,100,40,0,0,0,52,0,0,0,0,0,0,0,99,0,0,0,0,0,0,57,0,0,100,0,0,0,0,0,82,0,0,0,0,0,0,0,0
2005-05-01,50,0,87,0,73,19,0,72,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,69,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,46,0,17,0,89,0,0,0,0,94,0,44,0,0,0,0,0,0,63,0,0,0,0,0,30,0,100,21,0,0,0,0,0,0,0,0,0,0,0,0,43,45,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
2005-06-01,26,0,90,0,0,10,0,59,100,47,78,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,66,89,0,0,0,0,60,0,0,0,88,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,89,48,89,18,0,92,0,0,0,77,0,0,0,0,0,0,0,0,89,65,0,36,0,0,0,31,0,0,22,0,0,0,48,0,0,0,0,0,0,0,100,44,47,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
2005-07-01,56,0,0,0,0,10,0,75,0,51,0,0,0,0,97,0,0,8,0,0,0,0,0,96,0,0,23,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,100,0,0,0,84,0,0,100,0,0,0,0,96,96,0,0,38,0,0,0,67,0,0,24,0,0,0,52,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,59,100,0,0,0,24,0,0,0
2005-08-01,68,0,0,0,0,0,0,46,0,50,0,0,0,0,0,0,0,16,0,0,40,0,100,0,0,0,0,0,0,0,0,0,73,0,70,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,19,0,96,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,37,0,0,0,32,0,0,23,0,0,0,0,0,0,0,0,0,0,0,52,0,49,0,0,56,0,0,0,0,0,0,0,0,46,0,0,0
2005-09-01,83,0,0,0,0,9,0,54,0,87,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,19,0,0,0,0,37,0,0,0,0,0,0,0,0,54,0,0,81,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,16,0,0,0,0,0,0,0,0,56,0,0,0,96,80,0,59,0,32,0,100,0,56,0,0,20,100,0,0,0,0,0,0,0,0,0,0,46,41,43,41,0,0,0,0,0,100,84,0,0,0,20,0,0,0
2005-10-01,22,0,0,0,0,16,0,92,0,40,0,0,0,0,75,0,0,9,0,0,32,0,81,0,0,0,0,50,0,0,0,23,0,0,0,0,0,0,0,0,51,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,78,0,0,0,66,0,0,39,0,50,0,0,0,75,0,75,30,0,93,100,26,0,88,37,0,0,0,0,76,0,0,0,100,0,0,43,0,0,0,100,0,0,100,0,0,78,0,0,0,0,0,0,0
