date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Cassava
2005-01-01,0,16,60,0,39,44,0,49,0,44,0,0,0,100,70,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,49,0,0,5,0,0,45,0,100,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,62,0,0,0,77,0,100,0,99,0,0,0,0,71,0,52,0,21,0,0,0,36,0,0,0,100,0,0,0,0,0,100,0,0,0,81,70,0,0,0,0,0,33,77,0,0,79,0,0,0
2005-02-01,0,32,88,100,0,0,0,99,0,42,0,0,0,0,0,0,0,0,0,0,0,0,100,79,0,0,0,0,48,0,0,0,0,0,0,47,0,0,0,0,0,44,0,0,100,0,0,0,43,0,0,0,0,0,0,0,65,0,100,0,0,53,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,76,68,0,100,55,41,0,0,0,51,26,0,0,0,100,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,24,0,0,0,76,0,0,0
2005-03-01,0,13,47,0,0,0,0,91,86,69,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,92,76,56,0,38,0,0,7,0,100,35,0,0,40,0,0,100,0,0,0,0,0,0,0,0,53,0,0,0,0,0,100,0,0,0,0,0,0,72,0,0,0,60,0,0,60,77,0,48,0,0,0,0,0,0,25,0,100,0,55,21,0,0,0,80,0,61,0,0,0,0,36,56,0,0,0,93,0,0,0,32,60,0,0,0,31,0,0
2005-04-01,0,37,0,0,35,40,0,61,100,59,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,17,0,58,41,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,56,100,0,64,0,0,0,67,0,0,0,80,89,0,0,0,0,0,0,0,100,0,0,0,64,74,0,0,0,0,0,0,30,0,0,0,0,36,0,0
2005-05-01,0,28,0,72,0,30,0,74,76,30,0,0,0,0,0,0,0,0,0,0,0,0,0,57,43,55,0,0,34,0,0,0,0,0,0,0,0,0,33,0,0,31,0,69,0,0,0,90,47,0,0,0,0,71,0,0,47,0,72,0,70,38,0,0,0,0,0,0,0,57,0,0,53,0,55,69,0,69,0,0,0,0,73,0,0,40,34,0,90,0,24,19,0,0,0,0,0,0,0,0,0,0,32,50,56,0,0,0,0,0,0,23,0,0,0,55,27,0,0
2005-06-01,0,18,44,0,28,32,0,35,0,48,0,0,0,0,0,0,0,0,0,100,0,0,0,59,0,0,0,0,0,0,0,42,0,0,0,35,0,0,9,60,0,33,0,73,37,0,0,0,33,0,0,0,0,0,0,0,100,0,75,0,0,39,0,0,0,0,0,0,0,45,0,0,0,55,57,72,0,0,65,45,53,0,0,0,0,0,31,0,94,0,64,39,0,0,73,0,0,0,0,0,0,0,34,51,59,51,0,0,0,0,0,27,0,0,0,0,29,57,0
2005-07-01,0,23,85,73,0,46,0,55,0,46,0,0,0,0,100,0,0,0,0,0,78,0,0,0,44,0,0,0,0,100,0,42,0,0,0,34,0,0,3,0,45,0,0,70,55,0,0,0,31,0,0,0,0,0,0,0,96,0,0,0,70,38,91,0,0,0,0,0,0,44,0,0,0,54,0,70,0,71,0,0,0,0,100,0,0,0,15,0,0,0,50,0,0,0,71,0,0,0,0,0,0,0,33,100,0,0,0,0,0,0,0,26,0,0,0,55,0,55,0
2005-08-01,0,42,0,0,0,28,0,99,0,28,0,0,0,0,45,0,100,0,0,0,0,100,0,0,40,0,0,0,63,0,0,0,0,46,0,31,0,0,9,53,0,29,0,0,33,0,0,0,0,0,0,0,0,0,0,0,44,0,67,97,64,0,0,66,0,49,0,0,0,0,0,0,0,49,51,64,0,0,57,40,47,100,45,0,0,37,41,0,0,0,68,0,0,0,64,0,0,0,100,0,0,0,30,45,0,45,0,0,0,0,0,47,0,0,0,0,0,100,100
2005-09-01,100,16,0,0,25,56,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,51,0,0,32,0,0,0,63,0,0,31,100,0,3,53,42,0,100,0,84,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,35,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,100,48,0,46,0,33,0,21,0,84,0,53,0,0,0,0,0,0,0,0,0,0,0,30,46,52,91,0,0,100,0,0,32,100,0,0,0,25,0,0
2005-10-01,0,52,0,0,25,55,0,55,0,28,0,0,0,0,0,0,0,0,0,0,70,0,0,0,39,0,0,0,31,0,0,0,62,0,0,30,0,0,3,0,41,57,0,64,33,89,0,0,0,0,0,0,0,65,0,0,86,0,0,0,0,69,0,0,0,0,0,0,0,39,0,0,0,0,100,0,49,0,0,59,47,0,0,0,33,0,22,0,0,0,67,0,0,0,0,0,0,100,0,0,0,0,59,0,0,44,0,75,0,0,0,62,0,0,0,50,37,0,0
2005-11-01,0,21,39,67,0,57,0,57,0,28,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,52,0,65,32,0,0,38,0,0,0,32,0,0,4,0,0,0,0,66,34,0,0,0,59,0,0,0,0,0,0,0,67,0,0,100,66,70,0,0,0,100,100,0,0,80,0,0,100,0,52,0,0,66,0,41,0,0,47,0,34,38,28,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,46,0,0,92,0,0,0,100,0,57,0,0,0,52,39,52,0
2005-12-01,0,30,45,0,0,0,0,75,0,32,0,0,0,0,0,0,0,0,0,0,81,0,0,60,0,0,0,0,55,0,0,0,0,0,100,36,0,0,3,61,48,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,40,0,0,0,56,0,0,0,45,0,100,0,56,58,0,56,0,0,46,55,0,0,0,38,85,21,0,0,0,65,0,0,0,0,76,100,0,0,0,0,0,68,0,0,0,0,87,0,0,0,27,57,0,0,0,43,0,0
