date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,0,65,46,0,0,0,74,0,100,0,53,0,0,91,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,54,0,0,0,0
2005-02-01,0,61,0,0,0,0,0,0,41,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,100,0,0,0,0,0,0,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
2005-03-01,0,37,0,0,0,0,69,0,62,0,100,0,0,86,0,0,0,100,0,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,90,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,60,100,0,0,100,0,0,0,0
2005-04-01,0,100,0,100,0,0,0,0,64,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,69,0,0,0,0
2005-05-01,0,43,51,0,0,0,83,0,56,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,85,0,0,0,0,100,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
2005-06-01,0,0,0,0,100,0,69,0,50,0,0,100,0,0,0,0,0,0,0,100,0,0,0,92,95,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,89,0,0,82,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,51,0,0,0,0
2005-07-01,0,46,0,0,84,0,59,100,48,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,52,0,0,0,0,0,0,0,0,71,0,0,0,38,0,0,0,0,0,0,0,0,0,79,63,0,0,100,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,20,0,0,0,61,0,0,0,100,0,0,0,80,0,0,0,0,0,0,0,0,0,100,0,0,91,0,0,0,0,0,0,0,64,0,0,0,0
2005-08-01,0,31,0,0,0,0,0,0,73,0,42,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,75,0,0,69,0,0,0,75,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,100,100,0,91,0,0,0,29,0,0,100,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,49,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2005-09-01,0,30,0,0,0,0,56,0,66,0,61,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,74,0,0,67,0,0,0,55,0,0,100,0,0,0,0,0,0,76,60,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,49,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,69,0,47,0,81,85,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,61,0,0,84,0,86,0,62,0,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,51,0,0,0,100,0,0,0,100,0,100,0,0,37,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,100,0,60,0,0,0,84,0,0,0,50,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,70,0,98,0,0,0,0,0,0,100,84,0,0,42,0,0,0,0
