date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-01-01,0,55,0,0,0,95,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,100,0,100,0,0,0,0,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,100,0,0,0,0,0,0,100,0,0,100,0,0,0
2005-02-01,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,88,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,81,91,0,0,0,0,0,87,0,0,0,46,0,0,0
2005-03-01,0,45,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,100,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,81,0,0,0,100,80,0,0,0,100,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,0,47,0,100,0,0,84,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,85,0,0,0,0,85,74,0,0,0,0,0,0,100,0,0,0,0,0,0,0,46,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05-01,0,38,0,0,0,0,70,0,17,0,35,0,0,0,0,0,0,0,0,0,0,100,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,70,0,0,0,0,0,0,86,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
2005-06-01,0,0,0,0,0,0,0,0,57,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,69,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,39,0,0,0,0,70,0,18,0,35,0,0,0,0,0,0,0,0,0,0,0,0,93,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,92,0,0,0,0,0,0,0,0,71,0,0,0,0,71,100,71,0,87,0,0,0,0,0,0,62,0,0,90,0,0,0,82,0,0,0,0,0,0,0,39,100,0,0,0,92,0,0,0,67,71,0,0,0,0,0,0
2005-08-01,0,68,0,0,0,0,61,0,15,0,31,0,0,0,0,0,0,0,0,0,0,0,0,80,0,86,0,0,0,0,0,0,0,0,81,0,95,100,0,0,0,67,0,0,72,62,0,0,59,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,30,0,0,0,80,0,0,61,0,0,0,0,100,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,85,0,61,0,0,0,0,0,87,0,0,0,30,100,0,0
2005-09-01,0,33,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,74,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,78,0,0,0,0,0,0,0,32,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,53,60,0,0,0,0,0,0,0,0,100,0,0,0,0
2005-10-01,0,47,0,67,0,0,56,0,21,0,0,0,0,0,0,100,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,100,0,51,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,100,0,0,0,0,0,0,53,0,0,0,0,0,0,0
