date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Belgian Endive,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Madarins,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Waxed Beans,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-01-01,50,25,21,40,65,16,0,11,69,66,21,18,18,78,21,0,7,15,51,0,53,0,19,9,25,0,11,49,15,0,7,27,95,29,24,54,29,6,11,10,42,79,34,66,61,38,19,16,40,39,51,34,8,8,18,10,0,0,63,5,41,19,4,65,11,55,25,60,6,31,25,33,23,11,0,0,25,61,34,43,35,11,13,19,78,70,37,8,15,40,40,31,15,41,50,14,11,13,43,44,76,1,44,48,9,46,21,21,7,1,30,10,47,36,7,12,22,22,4,55,80,0,20,26,35,77,34,10,0,7,10,0,4
2005-02-01,64,25,30,47,34,23,100,14,0,67,22,18,17,100,24,38,23,11,31,0,57,0,20,7,17,63,15,100,11,0,8,19,0,46,21,57,16,5,11,8,30,0,23,49,35,54,39,17,35,42,35,43,8,9,9,31,0,49,59,15,29,20,5,0,6,53,27,57,5,16,36,23,25,7,0,0,18,52,36,53,74,11,20,18,53,93,16,11,10,38,30,19,25,19,0,21,14,11,31,63,67,1,37,51,22,54,15,44,15,1,8,7,41,41,6,8,21,17,4,78,51,49,21,18,47,41,23,7,0,5,3,69,4
2005-03-01,45,24,19,42,57,35,0,10,0,72,28,18,25,70,12,32,13,17,29,0,47,0,17,7,24,0,9,56,19,0,7,19,61,17,20,47,13,5,9,8,25,36,29,27,51,34,31,11,36,0,38,46,9,15,17,44,0,41,37,3,49,27,4,30,5,45,34,34,5,28,39,30,32,13,0,0,30,50,0,46,31,10,23,17,50,47,7,12,14,39,35,23,16,37,0,22,8,15,26,51,48,1,26,43,16,54,30,37,9,1,13,6,37,37,7,8,35,26,7,49,86,0,24,25,32,34,27,8,0,4,3,88,5
2005-04-01,51,25,32,37,49,15,48,13,0,91,47,19,17,79,25,36,22,14,11,0,81,0,16,7,17,61,10,21,13,0,4,18,0,15,20,54,15,7,8,9,57,100,23,52,33,64,21,13,36,40,28,44,9,0,21,27,0,46,42,4,0,31,3,100,12,49,38,63,7,21,29,22,79,12,0,0,26,69,0,48,53,16,0,18,40,53,19,9,17,38,25,15,15,37,100,22,2,10,78,40,20,1,15,36,12,50,41,0,23,1,10,14,16,33,6,6,47,29,4,37,41,0,29,22,36,59,35,12,0,3,7,66,5
2005-05-01,45,24,28,38,58,24,42,13,0,88,23,20,21,42,29,32,13,19,20,0,48,0,17,5,20,54,13,75,12,0,7,17,74,43,29,48,13,9,9,13,25,0,21,78,33,92,14,24,36,36,24,62,9,0,16,40,47,69,57,6,0,35,4,30,15,43,51,40,6,28,28,23,42,15,0,0,15,84,30,49,42,10,40,22,38,95,13,17,34,32,28,26,16,43,44,15,10,12,52,48,14,1,27,50,31,48,32,19,39,1,16,12,28,31,5,7,44,14,4,50,22,0,36,18,32,52,26,17,0,5,13,0,4
2005-06-01,37,20,57,38,30,18,44,14,65,75,15,18,20,44,36,33,24,25,31,0,100,0,13,3,20,56,10,29,12,77,4,22,51,22,45,50,0,12,6,15,20,0,35,29,46,71,19,29,40,74,20,50,9,8,29,22,0,65,39,7,26,41,4,0,17,28,27,29,7,29,38,24,36,33,0,0,48,58,63,56,33,35,16,22,36,65,21,15,44,19,32,26,8,35,0,30,6,10,54,46,9,1,14,45,33,57,51,20,37,1,14,6,37,37,5,13,60,15,4,26,30,43,47,24,33,0,16,28,0,3,21,0,13
2005-07-01,70,20,60,36,45,10,44,18,64,79,43,22,32,87,30,98,37,61,20,0,74,82,13,3,22,0,15,52,9,77,6,17,25,27,59,100,14,18,6,30,26,0,36,48,23,35,31,52,42,73,18,40,16,8,26,33,0,43,0,7,26,31,5,31,27,26,23,39,6,43,29,17,17,33,0,100,24,29,31,36,82,70,42,26,19,33,17,15,55,28,33,34,25,33,0,36,6,11,27,37,9,2,28,44,8,49,69,0,17,1,26,38,34,35,5,24,20,39,4,52,15,43,61,13,17,54,19,29,0,4,37,0,17
2005-08-01,52,23,33,33,85,10,0,16,0,73,27,21,19,41,17,62,63,30,13,0,0,77,15,2,17,0,14,43,11,72,6,17,36,25,26,0,13,19,6,26,25,34,43,40,29,100,15,49,38,0,18,40,14,25,14,27,46,80,55,9,24,31,5,0,15,24,12,37,6,23,25,35,18,22,0,0,45,54,0,39,41,57,37,25,21,31,6,16,50,51,24,38,8,36,0,64,8,11,50,35,0,2,26,21,8,58,35,27,22,1,27,18,46,30,3,23,22,31,3,32,14,41,52,13,23,34,15,25,0,3,33,0,22
2005-09-01,37,40,16,28,52,12,51,14,0,78,34,18,16,38,17,29,6,13,29,0,43,0,16,8,16,48,8,34,16,0,7,10,22,31,21,0,24,15,7,16,11,32,39,25,49,31,22,36,41,0,18,51,11,16,18,29,0,37,34,9,22,11,3,27,7,19,19,27,4,25,30,21,27,15,0,0,21,35,55,45,86,17,17,19,30,43,9,12,30,44,28,25,14,33,0,59,11,11,47,39,16,7,44,38,12,47,21,17,13,1,16,17,46,29,5,22,14,16,3,60,39,38,32,19,29,31,18,15,0,4,10,0,6
2005-10-01,34,57,19,42,61,13,0,11,52,82,19,17,23,35,29,54,5,12,19,0,40,66,18,8,26,60,9,32,17,0,8,21,62,25,18,81,22,28,15,9,26,60,30,23,37,57,34,28,34,30,26,41,11,18,10,47,40,34,63,3,82,25,6,25,3,33,31,35,6,29,30,19,16,12,0,0,39,33,0,53,61,0,19,19,31,53,14,10,17,57,31,27,44,25,74,24,17,12,72,47,18,51,78,30,13,61,16,24,7,1,13,18,47,36,6,35,16,54,5,34,48,35,26,22,13,29,13,9,0,5,4,49,5
2005-11-01,0,57,26,67,100,19,72,8,0,73,12,34,26,90,20,27,17,10,20,61,0,0,43,23,23,46,7,48,23,0,11,24,53,26,27,41,23,13,58,10,38,0,26,55,19,68,40,18,71,0,39,38,30,62,22,51,40,35,33,3,21,22,7,25,7,35,46,38,4,36,34,28,20,8,0,0,53,38,26,62,0,0,25,42,62,54,43,11,12,69,41,19,52,44,57,28,36,42,44,41,54,10,87,55,7,64,22,37,14,1,53,23,24,54,13,44,19,47,49,49,43,0,19,54,14,49,22,6,0,77,6,0,4
2005-12-01,22,29,27,100,48,19,35,9,0,71,38,22,21,58,17,26,8,10,13,0,0,0,29,12,23,44,7,38,16,0,10,30,50,18,26,0,11,7,28,4,31,29,23,68,63,28,40,24,58,29,48,25,18,18,15,31,58,34,31,3,61,16,3,0,8,42,25,34,5,27,25,11,25,6,0,0,63,41,0,45,26,8,9,29,91,39,36,5,15,69,32,21,24,35,36,29,25,22,35,39,57,2,44,18,11,52,10,38,5,1,22,28,23,69,7,18,17,21,14,20,83,0,17,27,13,66,17,7,0,17,0,0,4
2006-01-01,39,23,24,46,42,16,31,12,0,76,56,26,23,41,19,23,9,14,24,0,35,57,21,9,25,39,9,55,18,0,12,22,27,31,18,35,24,6,10,6,9,64,29,50,85,58,28,22,36,0,45,35,12,11,20,26,34,30,27,6,45,31,4,21,11,55,25,45,6,14,31,14,37,8,0,0,22,52,22,49,46,7,17,22,76,69,39,7,15,37,28,24,17,29,32,33,13,13,19,43,52,1,29,23,11,58,12,18,9,1,20,15,34,39,8,15,13,29,5,42,79,30,18,27,23,51,23,7,0,5,4,43,4
2006-02-01,82,21,13,48,44,23,43,13,47,68,46,22,19,32,17,24,7,12,20,0,0,0,16,8,19,41,5,24,16,0,8,21,28,33,20,0,20,5,19,5,24,0,26,59,33,26,26,18,41,0,35,38,10,5,23,24,36,31,28,4,19,22,5,0,7,54,30,41,6,26,47,22,23,13,0,0,52,29,23,62,0,18,17,20,57,24,25,10,14,37,32,24,12,30,0,23,14,11,39,27,54,1,17,43,14,59,28,38,7,1,15,16,21,40,7,10,21,22,4,100,82,31,25,22,36,39,29,8,0,6,6,0,3
2006-03-01,42,23,20,35,87,21,0,14,41,76,46,20,16,42,17,52,19,13,15,0,0,52,20,4,26,53,11,37,20,0,7,22,40,31,18,0,17,7,14,9,8,47,24,27,43,45,29,16,34,35,26,41,9,10,20,35,31,68,37,9,41,42,4,29,4,41,30,36,6,21,41,15,35,12,0,0,15,29,20,43,34,10,10,17,50,42,20,12,13,52,32,23,10,32,58,22,9,13,17,23,20,1,38,19,7,65,17,25,10,1,13,16,40,41,7,9,28,25,4,55,76,0,22,14,26,23,24,9,0,4,8,39,3
2006-04-01,38,25,19,40,61,32,0,12,44,71,16,20,21,30,19,44,16,16,16,100,0,0,21,6,17,0,9,18,19,0,7,29,17,54,19,51,19,7,8,9,31,37,28,48,31,56,29,16,36,0,22,45,15,13,21,29,33,38,35,4,17,33,5,21,13,47,45,50,6,32,31,21,59,13,0,0,32,47,0,56,51,10,11,21,50,22,16,10,24,45,34,22,8,44,0,27,10,16,18,39,29,1,14,25,15,62,22,22,14,1,13,15,36,40,6,9,38,30,8,63,56,29,30,15,33,24,31,12,0,6,4,41,5
2006-05-01,36,24,22,43,48,25,0,18,41,74,18,21,18,42,19,32,17,18,28,0,32,51,15,7,14,0,11,37,15,0,5,20,16,54,24,0,22,13,11,16,16,0,21,42,36,45,22,14,32,0,25,42,11,5,21,45,32,82,58,15,32,46,2,19,10,64,30,40,10,28,43,13,65,15,0,0,30,70,40,41,21,16,25,21,38,31,13,6,26,42,34,27,9,35,59,13,16,11,17,32,15,1,18,42,14,53,27,25,36,1,15,14,19,40,5,9,50,19,4,44,33,54,40,14,47,23,14,20,0,4,10,39,7
2006-06-01,51,19,43,39,21,16,0,21,0,68,23,17,24,44,28,34,32,28,35,0,50,55,16,3,15,0,13,53,14,0,7,23,52,18,44,34,14,14,6,19,13,37,32,29,31,24,31,26,34,100,20,41,11,5,33,26,33,39,53,4,26,31,2,0,26,26,20,22,8,20,29,23,26,31,0,0,32,75,28,31,59,41,24,23,24,55,26,15,34,28,51,24,7,30,62,37,14,11,37,31,0,1,37,35,18,55,43,26,44,1,16,13,69,36,5,15,62,34,5,23,36,29,47,14,17,24,27,29,0,4,24,0,14
2006-07-01,31,20,64,38,30,17,29,20,0,74,26,26,28,58,21,44,52,47,14,0,66,0,16,6,21,74,24,26,16,0,6,18,34,18,66,0,28,16,9,38,9,37,44,47,25,24,27,40,36,74,15,42,19,8,32,32,0,43,43,7,51,36,4,0,25,48,18,25,6,29,37,34,15,28,0,0,53,62,28,36,65,44,26,31,19,33,16,17,47,31,51,30,5,35,46,30,7,12,42,33,6,1,18,30,22,71,63,26,29,1,13,11,55,37,5,25,32,48,4,28,30,72,56,16,11,24,16,31,0,3,36,40,19
2006-08-01,85,25,28,34,64,14,26,16,77,64,29,22,25,26,24,30,14,36,12,0,30,100,16,3,20,67,20,20,18,47,4,10,69,16,28,30,0,15,9,23,31,0,52,26,37,43,27,57,33,22,14,43,15,7,18,33,29,52,24,7,0,26,2,0,12,19,23,28,5,26,42,35,9,19,0,0,39,35,19,48,33,46,29,29,22,39,15,12,56,48,35,30,12,33,0,71,13,11,70,30,6,2,19,18,8,52,27,31,16,1,13,11,26,34,4,21,20,38,4,10,14,26,49,15,0,32,10,26,100,2,27,0,15
2006-09-01,45,47,19,34,81,16,26,15,39,70,17,22,19,53,12,20,20,14,16,0,90,0,18,7,19,100,11,31,15,46,6,23,38,35,17,30,16,15,10,15,31,22,41,43,41,21,26,50,42,44,19,55,16,11,29,25,29,25,47,8,54,25,5,18,14,23,35,30,7,41,30,14,14,20,0,60,24,17,19,53,65,36,10,20,27,39,15,13,27,83,29,31,8,29,28,72,17,13,70,67,14,8,66,40,13,64,23,16,18,2,10,17,29,100,5,24,20,39,6,41,27,52,30,20,25,32,11,13,0,5,16,37,5
